region;comuna;sscuenca_dga;cod_estacion;nombre_estacion;zona;altitud (m.s.n.m);temperatura (°C);humedad_relativa (%);presion_atmosferica (hPAS);direccion_viento (°);fuerza_viento (kt);precipitación (mm);radiacion (W/m²);anyo;fecha_hora
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-05 17:45:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;;0.0;0.0;0.0;;2006.0;2006-05-05 18:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.725;0.0;0.0;0.0;;2006.0;2006-05-05 19:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1008.833;0.0;0.0;0.0;;2006.0;2006-05-05 20:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;;;1009.1;0.0;0.0;0.0;;2006.0;2006-05-05 21:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.8;76.8;1009.625;0.0;0.0;0.0;;2006.0;2006-05-05 22:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.4;78.3;1010.3;0.0;0.0;0.0;;2006.0;2006-05-05 23:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;18.1;78.3;1011.1;0.0;0.0;0.0;;2006.0;2006-05-06 00:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.7;77.8;1011.55;0.0;0.0;0.0;;2006.0;2006-05-06 01:00:00
Arica y Parinacota;Arica;Quebradas Escritos y de La Concordia;180005;Chacalluta, Arica Ap.;Litoral;50;17.28;74.8;1011.45;0.0;0.0;0.0;;2006.0;2006-05-06 02:00:00
